,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,burnie,-41.0667,145.9167,54.86,74,26,12.93,AU,1638712490
285,rawson,-43.3002,-65.1023,75.02,36,0,8.41,AR,1638712490
286,dawson creek,55.7666,-120.2362,-6.16,71,1,3.44,CA,1638712491
287,sitka,57.0531,-135.33,31.89,86,90,8.05,US,1638712374
288,buenos aires,-34.6132,-58.3772,73.08,84,40,10.36,AR,1638712429
289,sohag,26.557,31.6948,68.29,28,100,13.18,EG,1638712319
290,nhulunbuy,-12.2333,136.7667,81.21,89,95,4.61,AU,1638712368
291,gizo,-8.103,156.8419,82.63,76,100,4.18,SB,1638712491
292,yakeshi,49.2833,120.7333,7.34,96,40,6.64,CN,1638712491
293,zhangye,38.9342,100.4517,32.32,39,88,5.5,CN,1638712491
294,salisbury,51.0693,-1.7957,45.28,75,100,22.68,GB,1638712491
295,amapa,1.0,-52.0,81.1,79,74,3.65,BR,1638712491
296,prieska,-29.6641,22.7474,79.09,19,0,23.0,ZA,1638712491
297,narsaq,60.9167,-46.05,26.33,85,100,25.97,GL,1638712340
298,aksu,41.1231,80.2644,33.3,40,100,3.06,CN,1638712492
299,rio bueno,-40.3167,-72.9667,67.1,46,1,7.7,CL,1638712492
300,pavlivka,49.4414,28.4596,28.81,67,100,9.31,UA,1638712492
301,high level,58.5169,-117.136,-32.69,75,1,0.0,CA,1638712492
302,karratha,-20.7377,116.8463,89.65,40,67,21.12,AU,1638712492
303,thinadhoo,0.5333,72.9333,82.35,80,100,19.93,MV,1638712398
304,sarangani,5.4033,125.4636,82.85,74,79,7.47,PH,1638712492
305,okha,53.5739,142.9478,5.47,93,66,9.31,RU,1638712492
306,port macquarie,-31.4333,152.9167,64.36,80,98,7.9,AU,1638712492
307,beloha,-25.1667,45.05,92.01,26,0,15.35,MG,1638712355
308,matagami,49.7502,-77.6328,-2.09,84,40,5.75,CA,1638712493
309,bogorodskoye,56.55,37.8833,28.09,95,99,7.87,RU,1638712493
310,campoverde,-8.4753,-74.8058,76.69,80,100,2.82,PE,1638712493
311,cayenne,4.9333,-52.3333,80.1,87,75,3.0,GF,1638712390
312,kununurra,-15.7667,128.7333,78.78,83,75,5.75,AU,1638712493
313,ostrogozhsk,50.8664,39.0756,29.19,67,3,6.29,RU,1638712493
314,ust-kuyga,70.0167,135.6,-20.81,98,100,4.03,RU,1638712493
315,skibbereen,51.55,-9.2667,48.0,67,60,4.34,IE,1638712493
316,luanda,-8.8368,13.2343,86.0,70,20,10.36,AO,1638712372
317,jining,35.405,116.5814,43.9,52,0,8.01,CN,1638712493
318,gijon,43.5357,-5.6615,55.83,81,100,5.99,ES,1638712286
319,tumbes,-3.5667,-80.4414,73.0,71,97,4.54,PE,1638712494
320,miltenberg,49.7039,9.2644,44.1,86,99,1.99,DE,1638712442
321,cairns,-16.9167,145.7667,78.75,78,5,8.05,AU,1638712494
322,tarata,-17.6167,-66.0167,53.02,60,100,0.2,BO,1638712494
323,norman wells,65.282,-126.8329,-36.36,61,20,4.61,CA,1638712343
324,kyren,51.6828,102.1408,15.03,80,39,3.0,RU,1638712494
325,tura,25.5198,90.2201,66.83,81,100,2.75,IN,1638712342
326,fairbanks,64.8378,-147.7164,-7.64,77,90,0.0,US,1638712105
327,portsmouth,50.799,-1.0913,45.5,86,100,10.0,GB,1638712223
328,luderitz,-26.6481,15.1594,69.1,65,0,18.3,NA,1638712341
329,arrecife,28.963,-13.5477,69.87,56,20,25.32,ES,1638712456
330,cap malheureux,-19.9842,57.6142,84.69,67,18,8.01,MU,1638712494
331,bolshaya rechka,51.9503,104.7355,14.27,89,44,5.1,RU,1638712495
332,airai,-8.9266,125.4092,62.76,93,100,0.69,TL,1638712370
333,porto belo,-27.1578,-48.5531,82.18,70,58,8.68,BR,1638712495
334,palora,-1.7,-77.9333,69.91,74,95,1.48,EC,1638712495
335,haines junction,60.7522,-137.5108,-12.96,99,100,0.69,CA,1638712339
336,eureka,40.8021,-124.1637,48.92,95,29,3.8,US,1638712495
337,nioro,13.35,-15.75,99.36,10,100,9.17,GM,1638712495
338,kalmunai,7.4167,81.8167,79.77,80,1,4.63,LK,1638712495
339,gorin,51.1983,136.6669,2.82,96,89,6.67,RU,1638712495
340,tashtyp,52.7939,89.8983,13.77,95,97,4.61,RU,1638712495
341,lujiang,31.2581,117.2817,48.25,42,0,1.1,CN,1638712496
342,salym,60.0625,71.4789,4.68,98,100,4.32,RU,1638712496
343,olinda,-8.0089,-34.8553,85.73,66,40,9.22,BR,1638712496
344,kosh-agach,50.0,88.6667,9.36,67,99,1.72,RU,1638712496
345,olafsvik,64.8945,-23.7142,39.25,92,100,51.4,IS,1638712498
346,mwene-ditu,-7.0,23.45,82.94,55,68,5.08,CD,1638712498
347,provideniya,64.3833,-173.3,32.16,97,100,22.03,RU,1638712355
348,ixhuatan,16.3569,-94.4825,77.16,70,0,7.76,MX,1638712498
349,rocha,-34.4833,-54.3333,70.81,80,53,6.96,UY,1638712143
350,rio tinto,41.1826,-8.5581,57.11,73,20,11.99,PT,1638712498
351,biak,-0.9131,122.8766,78.3,78,100,2.84,ID,1638712355
352,hobyo,5.3505,48.5268,80.62,68,6,17.9,SO,1638712499
353,ghanzi,-21.5667,21.7833,82.65,40,100,20.36,BW,1638712249
354,batticaloa,7.7102,81.6924,80.37,80,0,6.49,LK,1638712499
355,taoudenni,22.6783,-3.9836,71.73,13,100,12.59,ML,1638712347
356,pietarsaari,63.65,22.6833,8.89,94,20,4.81,FI,1638712499
357,goderich,43.7501,-81.7165,30.9,69,100,4.61,CA,1638712392
358,kijang,35.2442,129.2139,42.53,65,52,4.29,KR,1638712499
359,sisimiut,66.9395,-53.6735,27.72,76,98,11.32,GL,1638712342
360,londoko,49.0333,131.9833,9.41,95,100,0.94,RU,1638712499
361,broken hill,-31.95,141.4333,71.31,30,100,6.91,AU,1638712499
362,verkhnetulomskiy,68.6073,31.7962,-5.24,99,59,4.61,RU,1638712500
363,bereda,43.2686,-7.5406,54.0,97,100,5.01,ES,1638712501
364,lieksa,63.3167,30.0167,9.37,95,89,5.39,FI,1638712501
365,aguimes,27.9054,-15.4461,68.67,60,20,19.57,ES,1638712501
